publication_id,title,journal,related_seed
PUB-001,Two-year maintenance of clinical and endoscopic remission with zoltarimab: AURORA-OLE week 104 results,European Review of Gastroenterology,S02
PUB-002,Onset of symptomatic response with zoltarimab: post hoc analysis of AURORA-1,European Review of Gastroenterology,S01
PUB-003,Efficacy of zoltarimab by prior advanced therapy exposure: pooled AURORA analysis,Journal of Digestive Therapeutics,S03
PUB-004,Injection site reactions with subcutaneous zoltarimab: pooled safety analysis,Journal of Digestive Therapeutics,S05
PUB-005,Serious infection rates across advanced therapies in ulcerative colitis: a network meta-analysis,European Review of Gastroenterology,S06
PUB-006,Hepatic laboratory abnormalities during zoltarimab induction,European Review of Gastroenterology,S06b
PUB-007,Real-world initiation delays for intravenous induction therapies in UC: the REALIZE-UC registry,Inflammatory Bowel Research Quarterly,S07
PUB-008,Positioning of anti-TL1A therapy in ulcerative colitis treatment algorithms: a survey of 214 gastroenterologists,Journal of Digestive Therapeutics,S09
PUB-009,Extraintestinal manifestations and response to zoltarimab: exploratory subgroup analysis,Clinical Gastroenterology Advances,S10
PUB-010,Prior authorisation burden for advanced therapies in ulcerative colitis,Journal of Digestive Therapeutics,S13
PUB-011,Site-of-care shifts for intravenous biologic induction in community gastroenterology,Inflammatory Bowel Research Quarterly,S14
PUB-012,Outcomes of advanced therapy in acute severe ulcerative colitis: a systematic review,Journal of Digestive Therapeutics,S15
