abstract_id,title,congress,date,related_seed
ABS-001,Two-year maintenance of clinical and endoscopic remission with zoltarimab: AURORA-OLE week 104 results,ECCO-2026,2026-02-18,S02
ABS-002,Onset of symptomatic response with zoltarimab: post hoc analysis of AURORA-1,UEGW-2025,2025-10-11,S01
ABS-003,Efficacy of zoltarimab by prior advanced therapy exposure: pooled AURORA analysis,DDW-2026,2026-05-16,S03
ABS-004,Injection site reactions with subcutaneous zoltarimab: pooled safety analysis,ECCO-2026,2026-02-18,S05
ABS-005,Serious infection rates across advanced therapies in ulcerative colitis: a network meta-analysis,DDW-2026,2026-05-16,S06
ABS-006,Hepatic laboratory abnormalities during zoltarimab induction,DDW-2026,2026-05-16,S06b
ABS-007,Real-world initiation delays for intravenous induction therapies in UC: the REALIZE-UC registry,UEGW-2025,2025-10-11,S07
ABS-008,Positioning of anti-TL1A therapy in ulcerative colitis treatment algorithms: a survey of 214 gastroenterologists,UEGW-2025,2025-10-11,S09
ABS-009,Extraintestinal manifestations and response to zoltarimab: exploratory subgroup analysis,UEGW-2025,2025-10-11,S10
ABS-010,Prior authorisation burden for advanced therapies in ulcerative colitis,ECCO-2026,2026-02-18,S13
ABS-011,Site-of-care shifts for intravenous biologic induction in community gastroenterology,UEGW-2025,2025-10-11,S14
ABS-012,Outcomes of advanced therapy in acute severe ulcerative colitis: a systematic review,DDW-2026,2026-05-16,S15
ABS-013,Chronic pouchitis: an orphan population in ulcerative colitis trials,UEGW-2025,2025-10-11,S16
ABS-014,Histologic remission as a treatment target: zoltarimab AURORA-2 central reading results,ECCO-2026,2026-02-18,S17
ABS-015,Population pharmacokinetics and exposure-response of zoltarimab in ulcerative colitis,UEGW-2025,2025-10-11,S18
ABS-016,Immunogenicity of zoltarimab and the effect of concomitant immunomodulators,ECCO-2026,2026-02-18,S19
ABS-017,Endoscopic assessment burden and recruitment in inflammatory bowel disease trials,ECCO-2026,2026-02-18,S20
ABS-018,Faecal calprotectin as a surrogate for endoscopic outcome in the AURORA programme,ECCO-2026,2026-02-18,S22
ABS-019,Mucosal TL1A expression predicts response to anti-TL1A therapy: a biomarker analysis,ECCO-2026,2026-02-18,S23
ABS-020,Time from regulatory approval to institutional formulary inclusion for advanced IBD therapies,DDW-2026,2026-05-16,S24
ABS-021,Patient-reported usability of a subcutaneous autoinjector in an older UC population,UEGW-2025,2025-10-11,S26
ABS-022,Maintenance therapy adherence in ulcerative colitis patients in clinical remission,UEGW-2025,2025-10-11,S27
ABS-023,Dose interval shortening after secondary loss of response to zoltarimab: REALIZE-UC case series,ECCO-2026,2026-02-18,S04
ABS-024,Referral pathways and trial awareness among community gastroenterologists,DDW-2026,2026-05-16,S21
ABS-025,Treat-to-target implementation in routine IBD practice: a multinational audit,ECCO-2026,2026-02-18,S22
ABS-026,Comparative effectiveness of anti-TL1A and IL-23 inhibitors in ulcerative colitis: a matched cohort study,UEGW-2025,2025-10-11,S12
ABS-027,Patient preference for oral versus injectable advanced therapy in UC: a discrete choice experiment,DDW-2026,2026-05-16,S11
ABS-028,Guideline concordance in the sequencing of advanced therapies for UC,ECCO-2026,2026-02-18,S25
ABS-029,Anti-TL1A therapy in Crohn's disease: HORIZON-CD baseline characteristics,DDW-2026,2026-05-16,S20
ABS-030,Steroid-free remission with zoltarimab in a real-world European cohort,DDW-2026,2026-05-16,S02
