insight_id,category,kol_tier,kol_is_investigator,region,novelty_score,n_corroborating_notes,days_since_captured,sentiment,has_compliance_flag,insight_char_length,aligned_to_strategic_priority,selected_for_review
HIST-00001,CLINICAL_TRIAL_EXPERIENCE,2,0,US-Central,0.755,6,215,0,1,116,0,0
HIST-00002,ACCESS_REIMBURSEMENT,2,0,US-West,0.262,6,221,1,0,147,1,0
HIST-00003,CLINICAL_TRIAL_EXPERIENCE,3,1,APAC,0.254,6,140,1,1,213,0,0
HIST-00004,SAFETY_TOLERABILITY,3,0,EMEA,0.473,1,91,0,0,183,1,0
HIST-00005,ACCESS_REIMBURSEMENT,2,1,APAC,0.053,3,375,-1,0,156,0,0
HIST-00006,PATIENT_EXPERIENCE_ADHERENCE,3,0,APAC,0.195,0,236,1,0,246,0,0
HIST-00007,PATIENT_EXPERIENCE_ADHERENCE,2,0,APAC,0.178,5,242,-1,0,298,0,0
HIST-00008,DOSING_ADMINISTRATION,3,0,US-East,0.249,0,331,0,0,161,1,0
HIST-00009,DATA_GAP_EVIDENCE_NEED,3,0,US-East,0.261,7,176,1,0,251,1,0
HIST-00010,PATIENT_EXPERIENCE_ADHERENCE,3,0,US-Central,0.199,0,336,-1,0,182,1,0
HIST-00011,DATA_GAP_EVIDENCE_NEED,2,0,EMEA,0.182,7,6,0,0,287,0,0
HIST-00012,SAFETY_TOLERABILITY,3,1,US-East,0.417,4,72,0,0,293,0,0
HIST-00013,EFFICACY_REAL_WORLD,3,0,APAC,0.307,9,73,0,0,223,0,1
HIST-00014,UNMET_NEED,3,0,APAC,0.346,7,97,0,0,322,1,0
HIST-00015,EFFICACY_REAL_WORLD,3,0,US-East,0.445,0,188,0,0,194,0,0
HIST-00016,COMPETITIVE_LANDSCAPE,1,0,EMEA,0.176,4,310,0,1,115,0,0
HIST-00017,PATIENT_SELECTION_POSITIONING,2,1,US-East,0.096,9,225,0,0,181,0,1
HIST-00018,DIAGNOSTIC_MONITORING,2,0,APAC,0.339,9,378,0,0,219,1,1
HIST-00019,COMPETITIVE_LANDSCAPE,2,0,US-Central,0.139,6,9,0,0,143,0,0
HIST-00020,GUIDELINES_PRACTICE_PATTERNS,3,0,APAC,0.411,0,91,0,0,182,1,0
HIST-00021,DOSING_ADMINISTRATION,2,0,US-West,0.432,0,22,0,0,222,0,0
HIST-00022,PATIENT_EXPERIENCE_ADHERENCE,3,0,EMEA,0.504,9,252,1,1,196,0,0
HIST-00023,DOSING_ADMINISTRATION,1,0,EMEA,0.339,2,385,0,0,253,0,0
HIST-00024,UNMET_NEED,2,0,US-Central,0.388,2,397,-1,0,157,0,0
HIST-00025,PATIENT_SELECTION_POSITIONING,2,0,EMEA,0.293,3,218,-1,0,241,0,0
HIST-00026,CLINICAL_TRIAL_EXPERIENCE,3,0,US-Central,0.121,5,375,-1,0,302,1,0
HIST-00027,PATIENT_EXPERIENCE_ADHERENCE,3,0,US-Central,0.522,4,105,0,0,149,1,0
HIST-00028,DIAGNOSTIC_MONITORING,2,1,US-West,0.247,4,57,-1,0,316,0,0
HIST-00029,PATIENT_SELECTION_POSITIONING,2,0,US-Central,0.187,6,229,0,0,133,0,0
HIST-00030,EFFICACY_REAL_WORLD,2,1,US-East,0.241,5,180,-1,0,194,1,0
HIST-00031,PATIENT_SELECTION_POSITIONING,3,0,EMEA,0.344,6,238,0,0,237,1,0
HIST-00032,PATIENT_SELECTION_POSITIONING,2,0,US-Central,0.253,8,11,0,1,212,1,1
HIST-00033,EFFICACY_REAL_WORLD,3,0,US-West,0.357,2,82,0,0,243,1,0
HIST-00034,EFFICACY_REAL_WORLD,3,0,EMEA,0.074,8,335,0,0,288,1,0
HIST-00035,UNMET_NEED,1,1,US-Central,0.534,0,288,-1,0,129,1,1
HIST-00036,PATIENT_SELECTION_POSITIONING,3,0,EMEA,0.356,0,78,0,0,164,1,0
HIST-00037,ACCESS_REIMBURSEMENT,2,1,EMEA,0.371,0,108,-1,0,129,1,1
HIST-00038,GUIDELINES_PRACTICE_PATTERNS,1,0,US-East,0.414,1,387,0,0,252,0,0
HIST-00039,UNMET_NEED,2,0,US-Central,0.221,7,245,-1,0,253,0,1
HIST-00040,COMPETITIVE_LANDSCAPE,1,0,EMEA,0.084,8,100,-1,0,35,0,0
HIST-00041,DOSING_ADMINISTRATION,2,0,US-West,0.439,6,171,1,0,189,0,0
HIST-00042,UNMET_NEED,2,0,EMEA,0.692,3,289,0,0,214,0,0
HIST-00043,DATA_GAP_EVIDENCE_NEED,3,0,US-West,0.232,6,389,0,0,316,0,0
HIST-00044,DATA_GAP_EVIDENCE_NEED,2,0,EMEA,0.236,2,9,0,0,316,1,0
HIST-00045,UNMET_NEED,3,0,APAC,0.704,3,120,0,0,236,1,1
HIST-00046,DOSING_ADMINISTRATION,2,0,US-West,0.299,1,279,1,0,238,1,0
HIST-00047,ACCESS_REIMBURSEMENT,2,0,EMEA,0.285,9,277,-1,0,81,0,0
HIST-00048,DOSING_ADMINISTRATION,1,0,US-Central,0.251,3,122,-1,0,314,0,0
HIST-00049,PATIENT_SELECTION_POSITIONING,2,0,EMEA,0.48,9,144,0,0,222,0,0
HIST-00050,SAFETY_TOLERABILITY,3,0,US-East,0.412,1,28,1,0,275,1,0
HIST-00051,DATA_GAP_EVIDENCE_NEED,2,1,APAC,0.425,0,185,0,0,105,1,0
HIST-00052,EFFICACY_REAL_WORLD,2,1,EMEA,0.212,2,311,-1,0,200,0,0
HIST-00053,ACCESS_REIMBURSEMENT,1,1,US-Central,0.141,8,342,0,0,213,1,1
HIST-00054,SAFETY_TOLERABILITY,3,0,APAC,0.466,0,253,0,0,184,0,0
