text_id,text,label,variant_group,topic_group
ARC-00089,Wanted a plain answer on serious infection rates vs the oral agents. Felt the label alone does not let him have,SAFETY_TOLERABILITY,S06-V1,S06
ARC-00362,Said his no-show rate for maintenance is climbing among patinets in remission.,PATIENT_EXPERIENCE_ADHERENCE,S27-V1,S27
ARC-00357,Adherence drops off once patients feel better. He wants something patient-facing that explains why maintenance matters.,PATIENT_EXPERIENCE_ADHERENCE,S27-V0,S27
ARC-00481,We reviewed the AURORA-1 primary endpoint slides.,SUMMARY_NO_INSIGHT,NOISE-07,NOISE-07
ARC-00376,We reviewed the AURORA-1 primary endpoint slides.,SUMMARY_NO_INSIGHT,NOISE-07,NOISE-07
ARC-00263,Wanted to know whether an assay exists and whether levels correlate with,DATA_GAP_EVIDENCE_NEED,S18-V1,S18
ARC-00380,Next steps: schedule a follow up in Q3.,LOGISTICS,NOISE-12,NOISE-12
ARC-00340,Said he is waiting for teh guideline refresh before changing sequencing. Expects it after,GUIDELINES_PRACTICE_PATTERNS,S25-V0,S25
ARC-00474,Rescheduled from last Tuesday due to his clinic overrunning.,LOGISTICS,NOISE-01,NOISE-01
ARC-00470,He is travelling to the congress and offered to meet there.,SUMMARY_NO_INSIGHT,NOISE-05,NOISE-05
ARC-00438,"Parking at the medical centre is a nightmare, allow extra time.",LOGISTICS,NOISE-04,NOISE-04
ARC-00162,Suggested EIM patients as the natural population and was frustrated there is no published subgroup.,PATIENT_SELECTION_POSITIONING,S10-V2,S10
ARC-00462,"Parking at the medical centre is a nightmare, allow extra time.",LOGISTICS,NOISE-04,NOISE-04
ARC-00098,"Raised that saw ALT rise to about 2x upper limit in two induction patients. Both normalised by week 12 without stopping, but he ordered a full hepatology work-up on the first one.",SAFETY_TOLERABILITY,S06b-V0,S06b
ARC-00262,Wanted to know whether an assay exists adn whether levels,DATA_GAP_EVIDENCE_NEED,S18-V1,S18
ARC-00500,He is travelling to the congress and offered to meet there.,SUMMARY_NO_INSIGHT,NOISE-05,NOISE-05
ARC-00308,Said calprotectin is his de facto endpoint and asked whether it tracks with response in the AURORA data.,DIAGNOSTIC_MONITORING,S22-V1,S22
ARC-00246,Asked whether AURORA-2 captured histologic remission. Said that is the endpoint his academic colleagues now,DATA_GAP_EVIDENCE_NEED,S17-V0,S17
ARC-00404,"Parking at the medical centre is a nightmare, allow extra time.",LOGISTICS,NOISE-04,NOISE-04
ARC-00503,Shared the published induction manuscript reprint.,SUMMARY_NO_INSIGHT,NOISE-09,NOISE-09
ARC-00085,asked how the infection signal compares w/ RIMVEXA. Said his pts read about JAK warnings and assume all advanced,SAFETY_TOLERABILITY,S06-V0,S06
ARC-00045,Made the point that his practice is almost all bio-experienced and the AURORA population was not.,EFFICACY_REAL_WORLD,S03-V1,S03
ARC-00440,Rescheduled from last Tuesday due to his clinic overrunning.,LOGISTICS,NOISE-01,NOISE-01
ARC-00040,Flagged that the mtx dataset ends exactly where his clinical q begins.,EFFICACY_REAL_WORLD,S02-V4,S02
ARC-00313,Asked whether TL1A expression predicts response and whether there is a companion assay in development.,DIAGNOSTIC_MONITORING,S23-V0,S23
ARC-00051,Said the drug works beautifully in pts who have failed nothing and much less well in the ones he actually needs help w/.,EFFICACY_REAL_WORLD,S03-V2,S03
ARC-00442,Shared the published induction manuscript reprint.,SUMMARY_NO_INSIGHT,NOISE-09,NOISE-09
ARC-00464,Discussed the standard response document on infusion reactions.,SUMMARY_NO_INSIGHT,NOISE-10,NOISE-10
ARC-00150,In their algorithm it is a late option. was open to moving it earlier if there were head to head,PATIENT_SELECTION_POSITIONING,S09-V3,S09
ARC-00210,Raised that the community group next door will not stock it - the acquisition cost versus reimbursement does not work for them.,ACCESS_REIMBURSEMENT,S14-V0,S14
ARC-00165,Says patients want a pill. RIMVEXA wins that conversation before efficacy is even,COMPETITIVE_LANDSCAPE,S11-V0,S11
ARC-00441,Rescheduled from last Tuesday due to his clinic overrunning.,LOGISTICS,NOISE-01,NOISE-01
ARC-00293,Asked for a simple one page list of open studies he can hand to referring physicians.,CLINICAL_TRIAL_EXPERIENCE,S21-V0,S21
ARC-00026,"Asked repeatedly about two year durability. His view is that the decision point for UC biologics is month 18, not month 12.",EFFICACY_REAL_WORLD,S02-V1,S02
ARC-00238,Pouch patients are invisible in all the programmes. He treats them off label with,UNMET_NEED,S16-V1,S16
ARC-00297,Said his referral network has no idea what is enrolling. Referrals dried up after the last study closed.,CLINICAL_TRIAL_EXPERIENCE,S21-V1,S21
ARC-00121,Said if there were a fully subcutaneous induction he would use the drug in twice,DOSING_ADMINISTRATION,S07-V3,S07
ARC-00450,Rescheduled from last Tuesday due to his clinic overrunning.,LOGISTICS,NOISE-01,NOISE-01
