note_id,date,msl_id,msl_name,region,kol_id,kol_name,institution,kol_tier,interaction_type,n_chars,split
NOTE-0001,2026-02-10,MSL-05,M. Haddad,US-Central,KOL-025,Dr. R. Pemberton,Cedar Ridge Health System,2,1:1 meeting,630,dev
NOTE-0002,2026-07-02,MSL-02,S. Lindqvist,EMEA,KOL-039,Dr. C. Corrigan,Hôpital Saint-Brieuc-sur-Loire,2,Advisory board follow-up,516,dev
NOTE-0003,2026-06-17,MSL-04,A. Ferreira,EMEA,KOL-006,Dr. J. Baptiste,Hôpital Saint-Brieuc-sur-Loire,3,1:1 meeting,659,dev
NOTE-0004,2026-06-03,MSL-01,R. Okafor,US-East,KOL-012,Dr. A. Maddox,Brightwater Medical Center,2,1:1 meeting,534,dev
NOTE-0005,2025-11-29,MSL-05,M. Haddad,US-Central,KOL-007,Dr. F. Castellanos,Cedar Ridge Health System,3,Unsolicited inbound,522,dev
NOTE-0006,2026-07-25,MSL-07,P. Raman,APAC,KOL-014,Dr. S. Bello,Harbourview Institute of Digestive Health,2,Advisory board follow-up,614,dev
NOTE-0007,2026-07-02,MSL-06,J. Whitcombe,US-East,KOL-012,Dr. A. Maddox,Brightwater Medical Center,2,Congress interaction,577,dev
NOTE-0008,2026-02-28,MSL-01,R. Okafor,US-East,KOL-032,Dr. S. Lindqvist,Brightwater Medical Center,1,Congress interaction,761,dev
NOTE-0009,2025-11-07,MSL-06,J. Whitcombe,US-East,KOL-029,Dr. K. Kowalczyk,Northgate University Hospital,1,Unsolicited inbound,1138,dev
NOTE-0010,2025-11-02,MSL-03,D. Cheng,US-West,KOL-030,Dr. G. Xu,Fairmount Colorectal Group,3,Virtual call,485,dev
NOTE-0011,2026-04-22,MSL-06,J. Whitcombe,US-East,KOL-028,Dr. T. Farrow,Northgate University Hospital,2,1:1 meeting,394,dev
NOTE-0012,2025-11-30,MSL-02,S. Lindqvist,EMEA,KOL-038,Dr. L. Rasmussen,Universitätsklinikum Rheinfeld,2,Advisory board follow-up,603,dev
NOTE-0013,2026-01-04,MSL-02,S. Lindqvist,EMEA,KOL-010,Dr. P. Achterberg,Hôpital Saint-Brieuc-sur-Loire,2,Unsolicited inbound,746,dev
NOTE-0014,2026-04-04,MSL-07,P. Raman,APAC,KOL-014,Dr. S. Bello,Harbourview Institute of Digestive Health,2,Advisory board follow-up,518,dev
NOTE-0015,2026-01-24,MSL-02,S. Lindqvist,EMEA,KOL-002,Dr. B. Hollingsworth,St. Aldric's Hospital,2,Virtual call,568,dev
NOTE-0016,2026-06-11,MSL-05,M. Haddad,US-Central,KOL-025,Dr. R. Pemberton,Cedar Ridge Health System,2,Congress interaction,468,dev
NOTE-0017,2026-07-18,MSL-06,J. Whitcombe,US-East,KOL-018,Dr. A. Nystrom,Ashgrove Community GI,3,Congress interaction,579,dev
NOTE-0018,2025-09-21,MSL-05,M. Haddad,US-Central,KOL-025,Dr. R. Pemberton,Cedar Ridge Health System,2,Investigator meeting,660,dev
NOTE-0019,2025-12-24,MSL-02,S. Lindqvist,EMEA,KOL-038,Dr. L. Rasmussen,Universitätsklinikum Rheinfeld,2,Virtual call,412,dev
NOTE-0020,2025-12-30,MSL-08,L. Novak,EMEA,KOL-003,Dr. S. Vandermeer,Royal Thornbury Infirmary,2,1:1 meeting,599,dev
